一覧
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
1	関東広域	ＮＨＫ総合・東京	①	1024	32736	7FE0
1	関東広域	ＮＨＫＥテレ東京	②	1032	32737	7FE1
1	関東広域	日本テレビ	④	1040	32738	7FE2
1	関東広域	ＴＢＳ	⑥	1048	32739	7FE3
1	関東広域	フジテレビジョン	⑧	1056	32740	7FE4
1	関東広域	テレビ朝日	⑤	1064	32741	7FE5
1	関東広域	テレビ東京	⑦	1072	32742	7FE6
1	関東広域	放送大学	⑫	1088	32744	7FE8
2	近畿広域	ＮＨＫＥテレ大阪	②	2056	32721	7FD1
2	近畿広域	ＭＢＳ毎日放送	④	2064	32722	7FD2
2	近畿広域	ＡＢＣテレビ	⑥	2072	32723	7FD3
2	近畿広域	関西テレビ	⑧	2080	32724	7FD4
2	近畿広域	読売テレビ	⑩	2088	32725	7FD5
3	中京広域	ＮＨＫＥテレ名古屋	②	3080	32705	7FC1
3	中京広域	東海テレビ	①	3088	32706	7FC2
3	中京広域	ＣＢＣ	⑤	3096	32707	7FC3
3	中京広域	メ～テレ	⑥	3104	32708	7FC4
3	中京広域	中京テレビ	④	3112	32709	7FC5
4	北海道域	ＨＢＣ北海道放送	①	4112	32690	7FB2
4	北海道域	ＳＴＶ札幌テレビ	⑤	4120	32691	7FB3
4	北海道域	ＨＴＢ北海道テレビ	⑥	4128	32692	7FB4
4	北海道域	ＵＨＢ	⑧	4136	32693	7FB5
4	北海道域	ＴＶＨ	⑦	4144	32694	7FB6
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
5	岡山香川	ＲＮＣ西日本テレビ	④	5136	32674	7FA2
5	岡山香川	ＫＳＢ瀬戸内海放送	⑤	5144	32675	7FA3
5	岡山香川	ＲＳＫテレビ	⑥	5152	32676	7FA4
5	岡山香川	ＴＳＣテレビせとうち	⑦	5160	32677	7FA5
5	岡山香川	ＯＨＫテレビ	⑧	5168	32678	7FA6
6	島根鳥取	山陰中央テレビ	⑧	6160	32658	7F92
6	島根鳥取	ＢＳＳテレビ	⑥	6168	32659	7F93
6	島根鳥取	日本海テレビ	①	6176	32660	7F94
10	北海道（札幌）	ＮＨＫ総合・札幌	③	10240	32592	7F50
10	北海道（札幌）	ＮＨＫＥテレ札幌	②	10248	32593	7F51
10	北海道（札幌）	ＨＢＣ札幌	①	10256	32594	7F52
10	北海道（札幌）	ＳＴＶ札幌	⑤	10264	32595	7F53
10	北海道（札幌）	ＨＴＢ札幌	⑥	10272	32596	7F54
10	北海道（札幌）	ＵＨＢ札幌	⑧	10280	32597	7F55
10	北海道（札幌）	ＴＶＨ札幌	⑦	10288	32598	7F56
11	北海道（函館）	ＮＨＫ総合・函館	③	11264	32576	7F40
11	北海道（函館）	ＮＨＫＥテレ函館	②	11272	32577	7F41
11	北海道（函館）	ＨＢＣ函館	①	11280	32578	7F42
11	北海道（函館）	ＳＴＶ函館	⑤	11288	32579	7F43
11	北海道（函館）	ＨＴＢ函館	⑥	11296	32580	7F44
11	北海道（函館）	ＵＨＢ函館	⑧	11304	32581	7F45
11	北海道（函館）	ＴＶＨ函館	⑦	11312	32582	7F46
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
12	北海道（旭川）	ＮＨＫ総合・旭川	③	12288	32560	7F30
12	北海道（旭川）	ＮＨＫＥテレ旭川	②	12296	32561	7F31
12	北海道（旭川）	ＨＢＣ旭川	①	12304	32562	7F32
12	北海道（旭川）	ＳＴＶ旭川	⑤	12312	32563	7F33
12	北海道（旭川）	ＨＴＢ旭川	⑥	12320	32564	7F34
12	北海道（旭川）	ＵＨＢ旭川	⑧	12328	32565	7F35
12	北海道（旭川）	ＴＶＨ旭川	⑦	12336	32566	7F36
13	北海道（帯広）	ＮＨＫ総合・帯広	③	13312	32544	7F20
13	北海道（帯広）	ＮＨＫＥテレ帯広	②	13320	32545	7F21
13	北海道（帯広）	ＨＢＣ帯広	①	13328	32546	7F22
13	北海道（帯広）	ＳＴＶ帯広	⑤	13336	32547	7F23
13	北海道（帯広）	ＨＴＢ帯広	⑥	13344	32548	7F24
13	北海道（帯広）	ＵＨＢ帯広	⑧	13352	32549	7F25
13	北海道（帯広）	ＴＶＨ帯広	⑦	13360	32550	7F26
14	北海道（釧路）	ＮＨＫ総合・釧路	③	14336	32528	7F10
14	北海道（釧路）	ＮＨＫＥテレ釧路	②	14344	32529	7F11
14	北海道（釧路）	ＨＢＣ釧路	①	14352	32530	7F12
14	北海道（釧路）	ＳＴＶ釧路	⑤	14360	32531	7F13
14	北海道（釧路）	ＨＴＢ釧路	⑥	14368	32532	7F14
14	北海道（釧路）	ＵＨＢ釧路	⑧	14376	32533	7F15
14	北海道（釧路）	ＴＶＨ釧路	⑦	14384	32534	7F16
番号	地域	TS名	リモコン番号	サービスID	TSID（10進数）	TSID（16進数）
15	北海道（北見）	ＮＨＫ総合・北見	③	15360	32512	7F00
15	北海道（北見）	ＮＨＫＥテレ北見	②	15368	32513	7F01
15	北海道（北見）	ＨＢＣ北見	①	15376	32514	7F02
15	北海道（北見）	ＳＴＶ北見	⑤	15384	32515	7F03
15	北海道（北見）	ＨＴＢ北見	⑥	15392	32516	7F04
15	北海道（北見）	ＵＨＢ北見	⑧	15400	32517	7F05
15	北海道（北見）	ＴＶＨ北見	⑦	15408	32518	7F06
16	北海道（室蘭）	ＮＨＫ総合・室蘭	③	16384	32496	7EF0
16	北海道（室蘭）	ＮＨＫＥテレ室蘭	②	16392	32497	7EF1
16	北海道（室蘭）	ＨＢＣ室蘭	①	16400	32498	7EF2
